[2025-12-11 17:13:26,043][accelerate.checkpointing][INFO] - Gradient scaler state saved in experiments/noise_distillation/checkpoints/epoch_6/scaler.pt
[2025-12-11 17:13:26,045][accelerate.checkpointing][INFO] - Random states saved in experiments/noise_distillation/checkpoints/epoch_6/random_states_0.pkl
[2025-12-11 17:13:26,046][accelerate.checkpointing][INFO] - Saving the state of NoiseTrainer to experiments/noise_distillation/checkpoints/epoch_6/custom_checkpoint_0.pkl
[2025-12-11 17:13:26,061][accelerate.accelerator][INFO] - Saving current state to experiments/noise_distillation/checkpoints/best
[2025-12-11 17:13:26,636][accelerate.checkpointing][INFO] - Model weights saved in experiments/noise_distillation/checkpoints/best/model.safetensors
[2025-12-11 17:13:26,680][accelerate.checkpointing][INFO] - Optimizer state saved in experiments/noise_distillation/checkpoints/best/optimizer.bin
[2025-12-11 17:13:26,682][accelerate.checkpointing][INFO] - Scheduler state saved in experiments/noise_distillation/checkpoints/best/scheduler.bin
[2025-12-11 17:13:26,682][accelerate.checkpointing][INFO] - Sampler state for dataloader 0 saved in experiments/noise_distillation/checkpoints/best/sampler.bin
[2025-12-11 17:13:26,682][accelerate.checkpointing][INFO] - Sampler state for dataloader 1 saved in experiments/noise_distillation/checkpoints/best/sampler_1.bin
[2025-12-11 17:13:26,684][accelerate.checkpointing][INFO] - Gradient scaler state saved in experiments/noise_distillation/checkpoints/best/scaler.pt
[2025-12-11 17:13:26,685][accelerate.checkpointing][INFO] - Random states saved in experiments/noise_distillation/checkpoints/best/random_states_0.pkl
[2025-12-11 17:13:26,685][accelerate.checkpointing][INFO] - Saving the state of NoiseTrainer to experiments/noise_distillation/checkpoints/best/custom_checkpoint_0.pkl
[2025-12-11 17:13:26,687][accel_hydra.utils.logging.experiments/noise_distillation//train.log][INFO] - training epoch 6 ended
[2025-12-11 19:11:32,043][accelerate.accelerator][INFO] - Saving current state to experiments/noise_distillation/checkpoints/epoch_7
[2025-12-11 19:11:32,567][accelerate.checkpointing][INFO] - Model weights saved in experiments/noise_distillation/checkpoints/epoch_7/model.safetensors
[2025-12-11 19:11:32,614][accelerate.checkpointing][INFO] - Optimizer state saved in experiments/noise_distillation/checkpoints/epoch_7/optimizer.bin
[2025-12-11 19:11:32,616][accelerate.checkpointing][INFO] - Scheduler state saved in experiments/noise_distillation/checkpoints/epoch_7/scheduler.bin
[2025-12-11 19:11:32,616][accelerate.checkpointing][INFO] - Sampler state for dataloader 0 saved in experiments/noise_distillation/checkpoints/epoch_7/sampler.bin
[2025-12-11 19:11:32,617][accelerate.checkpointing][INFO] - Sampler state for dataloader 1 saved in experiments/noise_distillation/checkpoints/epoch_7/sampler_1.bin
[2025-12-11 19:11:32,619][accelerate.checkpointing][INFO] - Gradient scaler state saved in experiments/noise_distillation/checkpoints/epoch_7/scaler.pt
[2025-12-11 19:11:32,622][accelerate.checkpointing][INFO] - Random states saved in experiments/noise_distillation/checkpoints/epoch_7/random_states_0.pkl
[2025-12-11 19:11:32,622][accelerate.checkpointing][INFO] - Saving the state of NoiseTrainer to experiments/noise_distillation/checkpoints/epoch_7/custom_checkpoint_0.pkl
[2025-12-11 19:11:32,637][accelerate.accelerator][INFO] - Saving current state to experiments/noise_distillation/checkpoints/best
[2025-12-11 19:11:33,175][accelerate.checkpointing][INFO] - Model weights saved in experiments/noise_distillation/checkpoints/best/model.safetensors
[2025-12-11 19:11:33,219][accelerate.checkpointing][INFO] - Optimizer state saved in experiments/noise_distillation/checkpoints/best/optimizer.bin
[2025-12-11 19:11:33,220][accelerate.checkpointing][INFO] - Scheduler state saved in experiments/noise_distillation/checkpoints/best/scheduler.bin
[2025-12-11 19:11:33,221][accelerate.checkpointing][INFO] - Sampler state for dataloader 0 saved in experiments/noise_distillation/checkpoints/best/sampler.bin
[2025-12-11 19:11:33,221][accelerate.checkpointing][INFO] - Sampler state for dataloader 1 saved in experiments/noise_distillation/checkpoints/best/sampler_1.bin
[2025-12-11 19:11:33,222][accelerate.checkpointing][INFO] - Gradient scaler state saved in experiments/noise_distillation/checkpoints/best/scaler.pt
[2025-12-11 19:11:33,224][accelerate.checkpointing][INFO] - Random states saved in experiments/noise_distillation/checkpoints/best/random_states_0.pkl
[2025-12-11 19:11:33,224][accelerate.checkpointing][INFO] - Saving the state of NoiseTrainer to experiments/noise_distillation/checkpoints/best/custom_checkpoint_0.pkl
[2025-12-11 19:11:33,226][accel_hydra.utils.logging.experiments/noise_distillation//train.log][INFO] - training epoch 7 ended
[2025-12-11 21:09:37,733][accelerate.accelerator][INFO] - Saving current state to experiments/noise_distillation/checkpoints/epoch_8
[2025-12-11 21:09:38,267][accelerate.checkpointing][INFO] - Model weights saved in experiments/noise_distillation/checkpoints/epoch_8/model.safetensors
[2025-12-11 21:09:38,315][accelerate.checkpointing][INFO] - Optimizer state saved in experiments/noise_distillation/checkpoints/epoch_8/optimizer.bin
[2025-12-11 21:09:38,317][accelerate.checkpointing][INFO] - Scheduler state saved in experiments/noise_distillation/checkpoints/epoch_8/scheduler.bin
[2025-12-11 21:09:38,317][accelerate.checkpointing][INFO] - Sampler state for dataloader 0 saved in experiments/noise_distillation/checkpoints/epoch_8/sampler.bin
[2025-12-11 21:09:38,318][accelerate.checkpointing][INFO] - Sampler state for dataloader 1 saved in experiments/noise_distillation/checkpoints/epoch_8/sampler_1.bin
[2025-12-11 21:09:38,320][accelerate.checkpointing][INFO] - Gradient scaler state saved in experiments/noise_distillation/checkpoints/epoch_8/scaler.pt
[2025-12-11 21:09:38,323][accelerate.checkpointing][INFO] - Random states saved in experiments/noise_distillation/checkpoints/epoch_8/random_states_0.pkl
